"id"	"annee"	"agemoy"	"etp"	"prod"	"cap"	"nace"	"sect"
1360	2006	39.805555556	35	5619	77478	10320	"M"
1361	2006	38.340909091	44	2871	20	25120	"M"
1362	2006	39.53125	62	2769	352	13960	"M"
1363	2006	43.346153846	27	1730	201	23120	"M"
1364	2006	34.973684211	37	3317	570	28130	"M"
1365	2006	38.606060606	65	3939	595	28300	"M"
1366	2006	36.830985915	75	6862	8690	24460	"M"
1367	2006	38.929824561	113	5607	1353	25999	"M"
1368	2006	41.22005571	338	22959	16500	13960	"M"
1369	2006	33.832512315	192	27657	1859	11070	"M"
1370	2006	42.341463415	44	1592	62	31000	"M"
1371	2006	48.125	51	1448	360	14140	"M"
1372	2006	39.458333333	21	2063	125	25620	"M"
1373	2006	38.489361702	57	10931	196500	17210	"M"
1374	2006	40.916666667	24	914	317	28300	"M"
1375	2006	40.435897436	38	2278	1239	10130	"M"
1376	2006	39.791666667	50	3474	795	18120	"M"
1377	2006	36.173913043	45	3210	1000	16230	"M"
1378	2006	41.933333333	25	1174	90	25290	"M"
1379	2006	41.126760563	74	883	495	20160	"M"
1380	2006	43.466666667	43	2087	1000	25110	"M"
1381	2006	38.926829268	40	1891	297	28250	"M"
1382	2006	44.269230769	27	965	2152	23700	"M"
1383	2006	38.482142857	55	2247	19	32500	"M"
1384	2006	36.392857143	53	3401	99	25940	"M"
1385	2006	37.093023256	39	2414	300	10820	"M"
1386	2006	39.266666667	115	14650	4875	10130	"M"
1387	2006	39.454545455	34	3274	2500	27120	"M"
1388	2006	40.161290323	34	4418	3675	25999	"M"
1389	2006	37.928571429	67	2986	62	24100	"M"
1390	2006	43.881188119	101	17447	9520	11010	"M"
1391	2006	37.959459459	57	6552	250	20300	"M"
1392	2006	41.47826087	20	1449	150	25940	"M"
1393	2006	42.701492537	65	3845	645	28220	"M"
1394	2006	40.470588235	99	5422	1920	25720	"M"
1395	2006	44.739130435	23	1095	362	32990	"M"
1396	2006	36.1875	46	2163	124	25110	"M"
1397	2006	37.142857143	34	2676	236	20160	"M"
1398	2006	48.256756757	75	1974	1136	13300	"M"
1399	2006	41.411764706	121	7918	13635	20150	"M"
1400	2006	33.525423729	71	3929	149	25110	"M"
1401	2006	37.134146341	73	3721	682	22190	"M"
1402	2006	46.090909091	106	2747	2718	13100	"M"
1403	2006	41.4	40	1011	248	13929	"M"
1404	2006	40.436363636	119	4550	1240	31091	"M"
1405	2006	44.5	41	2362	2243	23630	"M"
1406	2006	42.912844037	471	28295	37361	27401	"M"
1407	2006	41.923371648	278	14947	37370	17290	"M"
1408	2006	47.558139535	47	1470	63	13930	"M"
1409	2006	42.378378378	36	1615	3000	17230	"M"
1410	2006	39.746162928	881	171957	11210	24100	"M"
1411	2006	40.817142857	172	16258	11697	24310	"M"
1412	2006	39.432746794	3386	475187	102500	27401	"M"
1413	2006	39.590909091	81	4936	310	22230	"M"
1414	2006	33.333333333	44	3212	3650	25620	"M"
1415	2006	44.888888889	34	786	1108	20300	"M"
1416	2006	40.416666667	25	901	37	13929	"M"
1417	2006	45.625	20	302	258	14300	"M"
1418	2006	38.574626866	277	21842	6000	22190	"M"
1419	2006	43.47826087	27	2514	611	27510	"M"
1420	2006	38.53125	45	2420	167	25110	"M"
1421	2006	34.763157895	38	5556	174	20160	"M"
1422	2006	38.307692308	23	1863	250	18110	"M"
1423	2006	37.65625	29	1337	25	25110	"M"
1424	2006	36.038961039	92	6933	330	17210	"M"
1425	2006	47.030542986	915	62682	47000	25300	"M"
1426	2006	39.47826087	24	1215	124	27900	"M"
1427	2006	39.806451613	32	1621	269	27402	"M"
1428	2006	38.142857143	34	1958	942	23110	"M"
1429	2006	32.016129032	52	5184	6220	25290	"M"
1430	2006	47.666666667	24	724	421	25940	"M"
1431	2006	34.84	27	1384	387	10712	"M"
1432	2006	48.433962264	57	2950	2507	28410	"M"
1433	2006	41.391304348	20	633	198	18110	"M"
1434	2006	39.442307692	47	2407	62	25290	"M"
1435	2006	40.15	36	1869	325	28220	"M"
1436	2006	39.226190476	75	9463	134551	26110	"M"
1437	2006	39.361111111	35	4302	62	25620	"M"
1438	2006	37.756756757	37	1699	74	27402	"M"
1439	2006	34.870967742	29	2027	1800	10130	"M"
1440	2006	32.068965517	30	1800	180	25620	"M"
1441	2006	39.01863354	149	7180	4525	25110	"M"
1442	2006	37.913043478	23	1298	149	25620	"M"
1443	2006	46.011627907	84	8642	8478	24520	"M"
